============================================================
  Generated by:           Genus(TM) Synthesis Solution 17.20-p003_1
  Generated on:           Sep 06 2020  12:01:04 pm
  Module:                 vlc_phy_fec
  Technology libraries:   tcb018gbwp7ttc 270
                          physical_cells 
  Operating conditions:   NCCOM 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                                         Instance                                                                Module                        Cell Count   Cell Area   Net Area    Total Area 
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
vlc_phy_fec                                                                                                                                        225526 13963413.936   251.516  13963665.451 
  VPFD                                                                                     vlc_phy_fec_decoder_WORD_LENGTH8                        172045 10080263.406     0.000  10080263.406 
    RS                                                                                     vlc_phy_rs_codec_MODE1                                   88271  6387254.543     0.000   6387254.543 
      RS_160_128                                                                           rs_codec_N160_K128_RS_GF6_MODE1_TEST_MODE0               38218  3047837.787     0.000   3047837.787 
        GEN_DECODER.DECODER_INST                                                           rs_decoder_N160_K128_RS_GF6_OUTPUT_PARITY_SYMBOLS0       38218  3047837.787     0.000   3047837.787 
          RS_CHIEN_FORNEY_INST                                                             rs_chien_forney_WORD_LENGTH8_TWO_TIMES_T32_OUTPUT_       11806  1270949.727     0.000   1270949.727 
            RS_FORNEY_INST                                                                 rs_forney_WORD_LENGTH8_T16_TEST_MODE0                     5818   632582.744     0.000    632582.744 
              INVERTER                                                                     rs_inverse_WORD_LENGTH8_TEST_MODE0                         304    36105.834     0.000     36105.834 
                mux_gp_inverse_8[i]_21_2                                                   mux_515                                                      8    31174.009     0.000     31174.009 
                ctl_i_66_33                                                                case_box_10375                                             296     4931.826     0.000      4931.826 
              GEN_rs_forney_UNIT[15].MULTIPLIER                                            rs_multiplier_WORD_LENGTH8_MULT_CONSTANT38_TEST_MO         304    36105.834     0.000     36105.834 
                MULT_LUT                                                                   rs_multiplier_lut_WORD_LENGTH8_MULT_CONSTANT38             304    36105.834     0.000     36105.834 
                  mux_mt_8[38][i]_2340_2                                                   mux_515                                                      8    31174.009     0.000     31174.009 
                  ctl_i_51_31                                                              case_box_10242                                             296     4931.826     0.000      4931.826 
              GEN_rs_forney_UNIT[14].MULTIPLIER                                            rs_multiplier_WORD_LENGTH8_MULT_CONSTANT19_TEST_MO         304    36105.834     0.000     36105.834 
                MULT_LUT                                                                   rs_multiplier_lut_WORD_LENGTH8_MULT_CONSTANT19             304    36105.834     0.000     36105.834 
                  mux_mt_8[19][i]_2340_2                                                   mux_515                                                      8    31174.009     0.000     31174.009 
                  ctl_i_51_31                                                              case_box_10241                                             296     4931.826     0.000      4931.826 
              GEN_rs_forney_UNIT[13].MULTIPLIER                                            rs_multiplier_WORD_LENGTH8_MULT_CONSTANT135_TEST_M         304    36105.834     0.000     36105.834 
                MULT_LUT                                                                   rs_multiplier_lut_WORD_LENGTH8_MULT_CONSTANT135            304    36105.834     0.000     36105.834 
                  mux_mt_8[135][i]_2340_2                                                  mux_515                                                      8    31174.009     0.000     31174.009 
                  ctl_i_51_31                                                              case_box_10240                                             296     4931.826     0.000      4931.826 
              GEN_rs_forney_UNIT[12].MULTIPLIER                                            rs_multiplier_WORD_LENGTH8_MULT_CONSTANT205_TEST_M         304    36105.834     0.000     36105.834 
                MULT_LUT                                                                   rs_multiplier_lut_WORD_LENGTH8_MULT_CONSTANT205            304    36105.834     0.000     36105.834 
                  mux_mt_8[205][i]_2340_2                                                  mux_515                                                      8    31174.009     0.000     31174.009 
                  ctl_i_51_31                                                              case_box_10239                                             296     4931.826     0.000      4931.826 
              GEN_rs_forney_UNIT[11].MULTIPLIER                                            rs_multiplier_WORD_LENGTH8_MULT_CONSTANT232_TEST_M         304    36105.834     0.000     36105.834 
                MULT_LUT                                                                   rs_multiplier_lut_WORD_LENGTH8_MULT_CONSTANT232            304    36105.834     0.000     36105.834 
                  mux_mt_8[232][i]_2340_2                                                  mux_515                                                      8    31174.009     0.000     31174.009 
                  ctl_i_51_31                                                              case_box_10238                                             296     4931.826     0.000      4931.826 
              GEN_rs_forney_UNIT[10].MULTIPLIER                                            rs_multiplier_WORD_LENGTH8_MULT_CONSTANT116_TEST_M         304    36105.834     0.000     36105.834 
                MULT_LUT                                                                   rs_multiplier_lut_WORD_LENGTH8_MULT_CONSTANT116            304    36105.834     0.000     36105.834 
                  mux_mt_8[116][i]_2340_2                                                  mux_515                                                      8    31174.009     0.000     31174.009 
                  ctl_i_51_31                                                              case_box_261                                               296     4931.826     0.000      4931.826 
              GEN_rs_forney_UNIT[9].MULTIPLIER                                             rs_multiplier_WORD_LENGTH8_MULT_CONSTANT58_TEST_MO         304    36105.834     0.000     36105.834 
                MULT_LUT                                                                   rs_multiplier_lut_WORD_LENGTH8_MULT_CONSTANT58             304    36105.834     0.000     36105.834 
                  mux_mt_8[58][i]_2340_2                                                   mux_515                                                      8    31174.009     0.000     31174.009 
                  ctl_i_51_31                                                              case_box_10237                                             296     4931.826     0.000      4931.826 
              GEN_rs_forney_UNIT[8].MULTIPLIER                                             rs_multiplier_WORD_LENGTH8_MULT_CONSTANT29_TEST_MO         304    36105.834     0.000     36105.834 
                MULT_LUT                                                                   rs_multiplier_lut_WORD_LENGTH8_MULT_CONSTANT29             304    36105.834     0.000     36105.834 
                  mux_mt_8[29][i]_2340_2                                                   mux_515                                                      8    31174.009     0.000     31174.009 
                  ctl_i_51_31                                                              case_box_10236                                             296     4931.826     0.000      4931.826 
              GEN_rs_forney_UNIT[7].MULTIPLIER                                             rs_multiplier_WORD_LENGTH8_MULT_CONSTANT128_TEST_M         304    36105.834     0.000     36105.834 
                MULT_LUT                                                                   rs_multiplier_lut_WORD_LENGTH8_MULT_CONSTANT128            304    36105.834     0.000     36105.834 
                  mux_mt_8[128][i]_2340_2                                                  mux_515                                                      8    31174.009     0.000     31174.009 
                  ctl_i_51_31                                                              case_box_10235                                             296     4931.826     0.000      4931.826 
              GEN_rs_forney_UNIT[6].MULTIPLIER                                             rs_multiplier_WORD_LENGTH8_MULT_CONSTANT64_TEST_MO         304    36105.834     0.000     36105.834 
                MULT_LUT                                                                   rs_multiplier_lut_WORD_LENGTH8_MULT_CONSTANT64             304    36105.834     0.000     36105.834 
                  mux_mt_8[64][i]_2340_2                                                   mux_515                                                      8    31174.009     0.000     31174.009 
                  ctl_i_51_31                                                              case_box_260                                               296     4931.826     0.000      4931.826 
              GEN_rs_forney_UNIT[5].MULTIPLIER                                             rs_multiplier_WORD_LENGTH8_MULT_CONSTANT32_TEST_MO         304    36105.834     0.000     36105.834 
                MULT_LUT                                                                   rs_multiplier_lut_WORD_LENGTH8_MULT_CONSTANT32             304    36105.834     0.000     36105.834 
                  mux_mt_8[32][i]_2340_2                                                   mux_515                                                      8    31174.009     0.000     31174.009 
                  ctl_i_51_31                                                              case_box_10234                                             296     4931.826     0.000      4931.826 
              GEN_rs_forney_UNIT[4].MULTIPLIER                                             rs_multiplier_WORD_LENGTH8_MULT_CONSTANT16_TEST_MO         304    36105.834     0.000     36105.834 
                MULT_LUT                                                                   rs_multiplier_lut_WORD_LENGTH8_MULT_CONSTANT16             304    36105.834     0.000     36105.834 
                  mux_mt_8[16][i]_2340_2                                                   mux_515                                                      8    31174.009     0.000     31174.009 
                  ctl_i_51_31                                                              case_box_255                                               296     4931.826     0.000      4931.826 
              GEN_rs_forney_UNIT[3].MULTIPLIER                                             rs_multiplier_WORD_LENGTH8_MULT_CONSTANT8_TEST_MOD         304    36105.834     0.000     36105.834 
                MULT_LUT                                                                   rs_multiplier_lut_WORD_LENGTH8_MULT_CONSTANT8              304    36105.834     0.000     36105.834 
                  mux_mt_8[8][i]_2340_2                                                    mux_515                                                      8    31174.009     0.000     31174.009 
                  ctl_i_51_31                                                              case_box_10233                                             296     4931.826     0.000      4931.826 
              GEN_rs_forney_UNIT[2].MULTIPLIER                                             rs_multiplier_WORD_LENGTH8_MULT_CONSTANT4_TEST_MOD         304    36105.834     0.000     36105.834 
                MULT_LUT                                                                   rs_multiplier_lut_WORD_LENGTH8_MULT_CONSTANT4              304    36105.834     0.000     36105.834 
                  mux_mt_8[4][i]_2340_2                                                    mux_515                                                      8    31174.009     0.000     31174.009 
                  ctl_i_51_31                                                              case_box_10232                                             296     4931.826     0.000      4931.826 
              GEN_rs_forney_UNIT[1].MULTIPLIER                                             rs_multiplier_WORD_LENGTH8_MULT_CONSTANT2_TEST_MOD         304    36105.834     0.000     36105.834 
                MULT_LUT                                                                   rs_multiplier_lut_WORD_LENGTH8_MULT_CONSTANT2              304    36105.834     0.000     36105.834 
                  mux_mt_8[2][i]_2340_2                                                    mux_515                                                      8    31174.009     0.000     31174.009 
                  ctl_i_51_31                                                              case_box_10231                                             296     4931.826     0.000      4931.826 
              GEN_rs_forney_UNIT[0].MULTIPLIER                                             rs_multiplier_WORD_LENGTH8_MULT_CONSTANT1_TEST_MOD         304    36105.834     0.000     36105.834 
                MULT_LUT                                                                   rs_multiplier_lut_WORD_LENGTH8_MULT_CONSTANT1              304    36105.834     0.000     36105.834 
                  mux_mt_8[1][i]_2340_2                                                    mux_515                                                      8    31174.009     0.000     31174.009 
                  ctl_i_51_31                                                              case_box_10230                                             296     4931.826     0.000      4931.826 
              FULL_MULT                                                                    rs_full_multiplier_WORD_LENGTH8_TEST_MODE0                 138     2100.592     0.000      2100.592 
                FULL_MULTIPLIER                                                            rs_full_multiplier_core_WORD_LENGTH8                       138     2100.592     0.000      2100.592 
              GEN_INDEX_SUM_T_NOT_EQUAL_TO_1.REDUCE_ADDER_EVEN                             rs_reduce_adder_NUM_OF_ELEMENTS16_WORD_LENGTH8             120     1826.602     0.000      1826.602 
                g16                                                                        xor_op_10499                                                 8      121.773     0.000       121.773 
                g15                                                                        xor_op_10498                                                 8      121.773     0.000       121.773 
                g14                                                                        xor_op_10497                                                 8      121.773     0.000       121.773 
                g13                                                                        xor_op_10496                                                 8      121.773     0.000       121.773 
                g12                                                                        xor_op_10495                                                 8      121.773     0.000       121.773 
                g11                                                                        xor_op_10494                                                 8      121.773     0.000       121.773 
                g10                                                                        xor_op_10493                                                 8      121.773     0.000       121.773 
                g9                                                                         xor_op_10492                                                 8      121.773     0.000       121.773 
                g8                                                                         xor_op_10491                                                 8      121.773     0.000       121.773 
                g7                                                                         xor_op_10490                                                 8      121.773     0.000       121.773 
                g6                                                                         xor_op_10489                                                 8      121.773     0.000       121.773 
                g5                                                                         xor_op_10488                                                 8      121.773     0.000       121.773 
                g4                                                                         xor_op_10487                                                 8      121.773     0.000       121.773 
                g3                                                                         xor_op_10486                                                 8      121.773     0.000       121.773 
                g2                                                                         xor_op_10485                                                 8      121.773     0.000       121.773 
              GEN_rs_forney_UNIT[15].D_FLOP                                                no_rst_dff_WORD_LENGTH8                                      8      426.207     0.000       426.207 
              GEN_rs_forney_UNIT[14].D_FLOP                                                no_rst_dff_WORD_LENGTH8                                      8      426.207     0.000       426.207 
              GEN_rs_forney_UNIT[13].D_FLOP                                                no_rst_dff_WORD_LENGTH8                                      8      426.207     0.000       426.207 
              GEN_rs_forney_UNIT[12].D_FLOP                                                no_rst_dff_WORD_LENGTH8                                      8      426.207     0.000       426.207 
              GEN_rs_forney_UNIT[11].D_FLOP                                                no_rst_dff_WORD_LENGTH8                                      8      426.207     0.000       426.207 
              GEN_rs_forney_UNIT[10].D_FLOP                                                no_rst_dff_WORD_LENGTH8                                      8      426.207     0.000       426.207 
              GEN_rs_forney_UNIT[9].D_FLOP                                                 no_rst_dff_WORD_LENGTH8                                      8      426.207     0.000       426.207 
              GEN_rs_forney_UNIT[8].D_FLOP                                                 no_rst_dff_WORD_LENGTH8                                      8      426.207     0.000       426.207 
              GEN_rs_forney_UNIT[7].D_FLOP                                                 no_rst_dff_WORD_LENGTH8                                      8      426.207     0.000       426.207 
              GEN_rs_forney_UNIT[6].D_FLOP                                                 no_rst_dff_WORD_LENGTH8                                      8      426.207     0.000       426.207 
              GEN_rs_forney_UNIT[5].D_FLOP                                                 no_rst_dff_WORD_LENGTH8                                      8      426.207     0.000       426.207 
              GEN_rs_forney_UNIT[4].D_FLOP                                                 no_rst_dff_WORD_LENGTH8                                      8      426.207     0.000       426.207 
              GEN_rs_forney_UNIT[3].D_FLOP                                                 no_rst_dff_WORD_LENGTH8                                      8      426.207     0.000       426.207 
              GEN_rs_forney_UNIT[2].D_FLOP                                                 no_rst_dff_WORD_LENGTH8                                      8      426.207     0.000       426.207 
              GEN_rs_forney_UNIT[1].D_FLOP                                                 no_rst_dff_WORD_LENGTH8                                      8      426.207     0.000       426.207 
              GEN_rs_forney_UNIT[0].D_FLOP                                                 no_rst_dff_WORD_LENGTH8                                      8      426.207     0.000       426.207 
              mux_o_symbol_correction_85_58                                                bmux_46                                                      8      243.547     0.000       243.547 
              mux_w_flop[15]_53_46                                                         bmux_46                                                      8      243.547     0.000       243.547 
              mux_w_selector[15]_46_58                                                     bmux_46                                                      8      243.547     0.000       243.547 
              mux_w_flop[14]_53_46                                                         bmux_46                                                      8      243.547     0.000       243.547 
              mux_w_selector[14]_46_58                                                     bmux_46                                                      8      243.547     0.000       243.547 
              mux_w_flop[13]_53_46                                                         bmux_46                                                      8      243.547     0.000       243.547 
              mux_w_selector[13]_46_58                                                     bmux_46                                                      8      243.547     0.000       243.547 
              mux_w_flop[12]_53_46                                                         bmux_46                                                      8      243.547     0.000       243.547 
              mux_w_selector[12]_46_58                                                     bmux_46                                                      8      243.547     0.000       243.547 
              mux_w_flop[11]_53_46                                                         bmux_46                                                      8      243.547     0.000       243.547 
              mux_w_selector[11]_46_58                                                     bmux_46                                                      8      243.547     0.000       243.547 
              mux_w_flop[10]_53_46                                                         bmux_46                                                      8      243.547     0.000       243.547 
              mux_w_selector[10]_46_58                                                     bmux_46                                                      8      243.547     0.000       243.547 
              mux_w_flop[9]_53_46                                                          bmux_46                                                      8      243.547     0.000       243.547 
              mux_w_selector[9]_46_58                                                      bmux_46                                                      8      243.547     0.000       243.547 
              mux_w_flop[8]_53_46                                                          bmux_46                                                      8      243.547     0.000       243.547 
              mux_w_selector[8]_46_58                                                      bmux_46                                                      8      243.547     0.000       243.547 
              mux_w_flop[7]_53_46                                                          bmux_46                                                      8      243.547     0.000       243.547 
              mux_w_selector[7]_46_58                                                      bmux_46                                                      8      243.547     0.000       243.547 
              mux_w_flop[6]_53_46                                                          bmux_46                                                      8      243.547     0.000       243.547 
              mux_w_selector[6]_46_58                                                      bmux_46                                                      8      243.547     0.000       243.547 
              mux_w_flop[5]_53_46                                                          bmux_46                                                      8      243.547     0.000       243.547 
              mux_w_selector[5]_46_58                                                      bmux_46                                                      8      243.547     0.000       243.547 
              mux_w_flop[4]_53_46                                                          bmux_46                                                      8      243.547     0.000       243.547 
              mux_w_selector[4]_46_58                                                      bmux_46                                                      8      243.547     0.000       243.547 
              mux_w_flop[3]_53_46                                                          bmux_46                                                      8      243.547     0.000       243.547 
              mux_w_selector[3]_46_58                                                      bmux_46                                                      8      243.547     0.000       243.547 
              mux_w_flop[2]_53_46                                                          bmux_46                                                      8      243.547     0.000       243.547 
              mux_w_selector[2]_46_58                                                      bmux_46                                                      8      243.547     0.000       243.547 
              mux_w_flop[1]_53_46                                                          bmux_46                                                      8      243.547     0.000       243.547 
              mux_w_selector[1]_46_58                                                      bmux_46                                                      8      243.547     0.000       243.547 
              mux_w_flop[0]_53_46                                                          bmux_46                                                      8      243.547     0.000       243.547 
              mux_w_selector[0]_46_58                                                      bmux_46                                                      8      243.547     0.000       243.547 
            RS_CHIEN_INST                                                                  rs_chien_WORD_LENGTH8_T16_TEST_MODE0                      5710   631395.452     0.000    631395.452 
              GEN_RS_CHIEN_UNIT[16].MULTIPLIER                                             rs_multiplier_WORD_LENGTH8_MULT_CONSTANT76_TEST_MO         304    36105.834     0.000     36105.834 
                MULT_LUT                                                                   rs_multiplier_lut_WORD_LENGTH8_MULT_CONSTANT76             304    36105.834     0.000     36105.834 
                  mux_mt_8[76][i]_2340_2                                                   mux_515                                                      8    31174.009     0.000     31174.009 
