For more accurate power reporting use build_rtl_power_models after generic synthesis.
============================================================
  Generated by:           Genus(TM) Synthesis Solution 17.20-p003_1
  Generated on:           Sep 06 2020  11:57:39 am
  Module:                 vlc_phy_fec
  Technology libraries:   tcb018gbwp7ttc 270
                          physical_cells 
  Operating conditions:   NCCOM 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                                                    Leakage     Dynamic        Total     
                  Instance                   Cells Power(nW)   Power(nW)     Power(nW)   
-----------------------------------------------------------------------------------------
vlc_phy_fec                                 225526 27224.845 134043635.982 134070860.827 
  VPFD                                      172045 20032.385  96617754.751  96637787.135 
    RS                                       88271 10097.070  38523080.643  38533177.713 
      RS_160_128                             38218  4764.286  19127094.539  19131858.825 
        GEN_DECODER.DECODER_INST             38218  4764.286  19127094.539  19131858.825 
          RS_CHIEN_FORNEY_INST               11806  1572.749   4565910.737   4567483.486 
            RS_FORNEY_INST                    5818   781.182   2267594.623   2268375.805 
              GEN_rs_for..0].MULTIPLIER        304    42.404     52793.498     52835.902 
                MULT_LUT                       304    42.404     52793.498     52835.902 
                  mux_mt_8[1][i]_2340_2          8    36.959      6127.689      6164.648 
                  ctl_i_51_31                  296     5.445     46665.809     46671.255 
              GEN_rs_for..1].MULTIPLIER        304    42.404     51393.045     51435.449 
                MULT_LUT                       304    42.404     51393.045     51435.449 
                  mux_mt_8[2][i]_2340_2          8    36.959      4727.235      4764.194 
                  ctl_i_51_31                  296     5.445     46665.809     46671.255 
              GEN_rs_for..2].MULTIPLIER        304    42.404     51859.863     51902.267 
                MULT_LUT                       304    42.404     51859.863     51902.267 
                  mux_mt_8[4][i]_2340_2          8    36.959      5194.053      5231.012 
                  ctl_i_51_31                  296     5.445     46665.809     46671.255 
              GEN_rs_for..3].MULTIPLIER        304    42.404     51393.045     51435.449 
                MULT_LUT                       304    42.404     51393.045     51435.449 
                  mux_mt_8[8][i]_2340_2          8    36.959      4727.235      4764.194 
                  ctl_i_51_31                  296     5.445     46665.809     46671.255 
              GEN_rs_for..4].MULTIPLIER        304    42.404     50926.227     50968.631 
                MULT_LUT                       304    42.404     50926.227     50968.631 
                  mux_mt_8[16][i]_2340_2         8    36.959      4260.417      4297.376 
                  ctl_i_51_31                  296     5.445     46665.809     46671.255 
              GEN_rs_for..5].MULTIPLIER        304    42.404     63941.796     63984.200 
                MULT_LUT                       304    42.404     63941.796     63984.200 
                  mux_mt_8[32][i]_2340_2         8    36.959      7455.738      7492.697 
                  ctl_i_51_31                  296     5.445     56486.058     56491.504 
              GEN_rs_for..6].MULTIPLIER        304    42.404     50459.409     50501.813 
                MULT_LUT                       304    42.404     50459.409     50501.813 
                  mux_mt_8[64][i]_2340_2         8    36.959      3793.600      3830.558 
                  ctl_i_51_31                  296     5.445     46665.809     46671.255 
              GEN_rs_for..7].MULTIPLIER        304    42.404     50459.409     50501.813 
                MULT_LUT                       304    42.404     50459.409     50501.813 
                  mux_mt_8[128][i]_2340_2        8    36.959      3793.600      3830.558 
                  ctl_i_51_31                  296     5.445     46665.809     46671.255 
              GEN_rs_for..8].MULTIPLIER        304    42.404     50459.409     50501.813 
                MULT_LUT                       304    42.404     50459.409     50501.813 
                  mux_mt_8[29][i]_2340_2         8    36.959      3793.600      3830.558 
                  ctl_i_51_31                  296     5.445     46665.809     46671.255 
              GEN_rs_for..9].MULTIPLIER        304    42.404     50926.227     50968.631 
                MULT_LUT                       304    42.404     50926.227     50968.631 
                  mux_mt_8[58][i]_2340_2         8    36.959      4260.417      4297.376 
                  ctl_i_51_31                  296     5.445     46665.809     46671.255 
              GEN_rs_for..0].MULTIPLIER        304    42.404     51393.045     51435.449 
                MULT_LUT                       304    42.404     51393.045     51435.449 
                  mux_mt_8[116][i]_2340_2        8    36.959      4727.235      4764.194 
                  ctl_i_51_31                  296     5.445     46665.809     46671.255 
              GEN_rs_for..1].MULTIPLIER        304    42.404     51393.045     51435.449 
                MULT_LUT                       304    42.404     51393.045     51435.449 
                  mux_mt_8[232][i]_2340_2        8    36.959      4727.235      4764.194 
                  ctl_i_51_31                  296     5.445     46665.809     46671.255 
              GEN_rs_for..2].MULTIPLIER        304    42.404     51393.045     51435.449 
                MULT_LUT                       304    42.404     51393.045     51435.449 
                  mux_mt_8[205][i]_2340_2        8    36.959      4727.235      4764.194 
                  ctl_i_51_31                  296     5.445     46665.809     46671.255 
              GEN_rs_for..3].MULTIPLIER        304    42.404     50926.227     50968.631 
                MULT_LUT                       304    42.404     50926.227     50968.631 
                  mux_mt_8[135][i]_2340_2        8    36.959      4260.417      4297.376 
                  ctl_i_51_31                  296     5.445     46665.809     46671.255 
              GEN_rs_for..4].MULTIPLIER        304    42.404     51393.045     51435.449 
                MULT_LUT                       304    42.404     51393.045     51435.449 
                  mux_mt_8[19][i]_2340_2         8    36.959      4727.235      4764.194 
                  ctl_i_51_31                  296     5.445     46665.809     46671.255 
              GEN_rs_for..5].MULTIPLIER        304    42.404     51393.045     51435.449 
                MULT_LUT                       304    42.404     51393.045     51435.449 
                  mux_mt_8[38][i]_2340_2         8    36.959      4727.235      4764.194 
                  ctl_i_51_31                  296     5.445     46665.809     46671.255 
              INVERTER                         304    42.404    130345.852    130388.256 
                mux_gp_inverse_8[i]_21_2         8    36.959     39774.917     39811.876 
                ctl_i_66_33                    296     5.445     90570.934     90576.380 
              GEN_INDEX_..CE_ADDER_EVEN        120    11.738    214325.098    214336.836 
                g2                               8     0.783      8083.243      8084.026 
                g3                               8     0.783      9688.545      9689.327 
                g4                               8     0.783      9948.639      9949.422 
                g5                               8     0.783     11446.051     11446.833 
                g6                               8     0.783     11258.848     11259.630 
                g7                               8     0.783     13600.119     13600.902 
                g8                               8     0.783     12638.843     12639.626 
                g9                               8     0.783     14523.291     14524.074 
                g10                              8     0.783     13527.122     13527.905 
                g11                              8     0.783     14443.979     14444.761 
                g12                              8     0.783     14881.750     14882.533 
                g13                              8     0.783     15595.563     15596.345 
                g14                              8     0.783     16191.959     16192.741 
                g15                              8     0.783     15735.136     15735.918 
                g16                              8     0.783     32762.010     32762.792 
              FULL_MULT                        138     9.430    303562.238    303571.669 
                FULL_MULTIPLIER                138     9.430    303562.238    303571.669 
              GEN_rs_for..NIT[0].D_FLOP          8     1.385     14537.916     14539.301 
              GEN_rs_for..NIT[1].D_FLOP          8     1.385     15123.958     15125.343 
              GEN_rs_for..NIT[2].D_FLOP          8     1.385     15123.958     15125.343 
              GEN_rs_for..NIT[3].D_FLOP          8     1.385     14244.896     14246.281 
              GEN_rs_for..NIT[4].D_FLOP          8     1.385     15123.958     15125.343 
              GEN_rs_for..NIT[5].D_FLOP          8     1.385     14830.937     14832.322 
              GEN_rs_for..NIT[6].D_FLOP          8     1.385     14830.937     14832.322 
              GEN_rs_for..NIT[7].D_FLOP          8     1.385     15710.000     15711.385 
              GEN_rs_for..NIT[8].D_FLOP          8     1.385     15416.979     15418.364 
              GEN_rs_for..NIT[9].D_FLOP          8     1.385     15710.000     15711.385 
              GEN_rs_for..IT[10].D_FLOP          8     1.385     15416.979     15418.364 
              GEN_rs_for..IT[11].D_FLOP          8     1.385     15123.958     15125.343 
              GEN_rs_for..IT[12].D_FLOP          8     1.385     15123.958     15125.343 
              GEN_rs_for..IT[13].D_FLOP          8     1.385     15123.958     15125.343 
              GEN_rs_for..IT[14].D_FLOP          8     1.385     15710.000     15711.385 
              GEN_rs_for..IT[15].D_FLOP          8     1.385     15710.000     15711.385 
              mux_w_selector[0]_46_58            8     0.515     23367.557     23368.071 
              mux_w_flop[0]_53_46                8     0.515     10815.752     10816.266 
              mux_w_selector[1]_46_58            8     0.515     23501.069     23501.584 
              mux_w_flop[1]_53_46                8     0.515     10148.191     10148.706 
              mux_w_selector[2]_46_58            8     0.515     23501.069     23501.584 
              mux_w_flop[2]_53_46                8     0.515     10415.215     10415.730 
              mux_w_selector[3]_46_58            8     0.515     23300.801     23301.315 
              mux_w_flop[3]_53_46                8     0.515      9947.923      9948.438 
              mux_w_selector[4]_46_58            8     0.515     23501.069     23501.584 
              mux_w_flop[4]_53_46                8     0.515      9881.167      9881.682 
              mux_w_selector[5]_46_58            8     0.515     23434.313     23434.828 
              mux_w_flop[5]_53_46                8     0.515     10615.484     10615.998 
              mux_w_selector[6]_46_58            8     0.515     23434.313     23434.828 
              mux_w_flop[6]_53_46                8     0.515      9547.387      9547.901 
              mux_w_selector[7]_46_58            8     0.515     23634.581     23635.096 
              mux_w_flop[7]_53_46                8     0.515      9747.655      9748.169 
              mux_w_selector[8]_46_58            8     0.515     23567.825     23568.340 
              mux_w_flop[8]_53_46                8     0.515      9680.899      9681.413 
              mux_w_selector[9]_46_58            8     0.515     23634.581     23635.096 
              mux_w_flop[9]_53_46                8     0.515     10014.679     10015.194 
              mux_w_selector[10]_46_58           8     0.515     23567.825     23568.340 
              mux_w_flop[10]_53_46               8     0.515     10214.947     10215.462 
              mux_w_selector[11]_46_58           8     0.515     23501.069     23501.584 
              mux_w_flop[11]_53_46               8     0.515     10148.191     10148.706 
              mux_w_selector[12]_46_58           8     0.515     23501.069     23501.584 
              mux_w_flop[12]_53_46               8     0.515     10148.191     10148.706 
              mux_w_selector[13]_46_58           8     0.515     23501.069     23501.584 
              mux_w_flop[13]_53_46               8     0.515      9881.167      9881.682 
              mux_w_selector[14]_46_58           8     0.515     23634.581     23635.096 
              mux_w_flop[14]_53_46               8     0.515     10281.703     10282.218 
              mux_w_selector[15]_46_58           8     0.515     23634.581     23635.096 
              mux_w_flop[15]_53_46               8     0.515     10281.703     10282.218 
              mux_o_symb..rection_85_58          8     0.515      6008.046      6008.560 
            RS_CHIEN_INST                     5710   774.584   1933148.845   1933923.430 
              GEN_RS_CHI..0].MULTIPLIER        304    42.404     56665.216     56707.620 
                MULT_LUT                       304    42.404     56665.216     56707.620 
                  mux_mt_8[1][i]_2340_2          8    36.959      6725.990      6762.949 
                  ctl_i_51_31                  296     5.445     49939.226     49944.671 
              GEN_RS_CHI..1].MULTIPLIER        304    42.404     51393.045     51435.449 
                MULT_LUT                       304    42.404     51393.045     51435.449 
                  mux_mt_8[2][i]_2340_2          8    36.959      4727.235      4764.194 
                  ctl_i_51_31                  296     5.445     46665.809     46671.255 
              GEN_RS_CHI..2].MULTIPLIER        304    42.404     51859.863     51902.267 
                MULT_LUT                       304    42.404     51859.863     51902.267 
                  mux_mt_8[4][i]_2340_2          8    36.959      5194.053      5231.012 
                  ctl_i_51_31                  296     5.445     46665.809     46671.255 
              GEN_RS_CHI..3].MULTIPLIER        304    42.404     51393.045     51435.449 
                MULT_LUT                       304    42.404     51393.045     51435.449 
                  mux_mt_8[8][i]_2340_2          8    36.959      4727.235      4764.194 
                  ctl_i_51_31                  296     5.445     46665.809     46671.255 
              GEN_RS_CHI..4].MULTIPLIER        304    42.404     50926.227     50968.631 
                MULT_LUT                       304    42.404     50926.227     50968.631 
                  mux_mt_8[16][i]_2340_2         8    36.959      4260.417      4297.376 
                  ctl_i_51_31                  296     5.445     46665.809     46671.255 
              GEN_RS_CHI..5].MULTIPLIER        304    42.404     50926.227     50968.631 
                MULT_LUT                       304    42.404     50926.227     50968.631 
                  mux_mt_8[32][i]_2340_2         8    36.959      4260.417      4297.376 
                  ctl_i_51_31                  296     5.445     46665.809     46671.255 
              GEN_RS_CHI..6].MULTIPLIER        304    42.404     50459.409     50501.813 
                MULT_LUT                       304    42.404     50459.409     50501.813 
                  mux_mt_8[64][i]_2340_2         8    36.959      3793.600      3830.558 
                  ctl_i_51_31                  296     5.445     46665.809     46671.255 
              GEN_RS_CHI..7].MULTIPLIER        304    42.404     50459.409     50501.813 
                MULT_LUT                       304    42.404     50459.409     50501.813 
                  mux_mt_8[128][i]_2340_2        8    36.959      3793.600      3830.558 
                  ctl_i_51_31                  296     5.445     46665.809     46671.255 
              GEN_RS_CHI..8].MULTIPLIER        304    42.404     50459.409     50501.813 
                MULT_LUT                       304    42.404     50459.409     50501.813 
                  mux_mt_8[29][i]_2340_2         8    36.959      3793.600      3830.558 
                  ctl_i_51_31                  296     5.445     46665.809     46671.255 
              GEN_RS_CHI..9].MULTIPLIER        304    42.404     50926.227     50968.631 
                MULT_LUT                       304    42.404     50926.227     50968.631 
                  mux_mt_8[58][i]_2340_2         8    36.959      4260.417      4297.376 
                  ctl_i_51_31                  296     5.445     46665.809     46671.255 
              GEN_RS_CHI..0].MULTIPLIER        304    42.404     51393.045     51435.449 
                MULT_LUT                       304    42.404     51393.045     51435.449 
                  mux_mt_8[116][i]_2340_2        8    36.959      4727.235      4764.194 
                  ctl_i_51_31                  296     5.445     46665.809     46671.255 
              GEN_RS_CHI..1].MULTIPLIER        304    42.404     51393.045     51435.449 
                MULT_LUT                       304    42.404     51393.045     51435.449 
                  mux_mt_8[232][i]_2340_2        8    36.959      4727.235      4764.194 
                  ctl_i_51_31                  296     5.445     46665.809     46671.255 
              GEN_RS_CHI..2].MULTIPLIER        304    42.404     51393.045     51435.449 
                MULT_LUT                       304    42.404     51393.045     51435.449 
                  mux_mt_8[205][i]_2340_2        8    36.959      4727.235      4764.194 
                  ctl_i_51_31                  296     5.445     46665.809     46671.255 
              GEN_RS_CHI..3].MULTIPLIER        304    42.404     50926.227     50968.631 
                MULT_LUT                       304    42.404     50926.227     50968.631 
                  mux_mt_8[135][i]_2340_2        8    36.959      4260.417      4297.376 
                  ctl_i_51_31                  296     5.445     46665.809     46671.255 
              GEN_RS_CHI..4].MULTIPLIER        304    42.404     51393.045     51435.449 
                MULT_LUT                       304    42.404     51393.045     51435.449 
                  mux_mt_8[19][i]_2340_2         8    36.959      4727.235      4764.194 
                  ctl_i_51_31                  296     5.445     46665.809     46671.255 
              GEN_RS_CHI..5].MULTIPLIER        304    42.404     51393.045     51435.449 
                MULT_LUT                       304    42.404     51393.045     51435.449 
                  mux_mt_8[38][i]_2340_2         8    36.959      4727.235      4764.194 
                  ctl_i_51_31                  296     5.445     46665.809     46671.255 
              GEN_RS_CHI..6].MULTIPLIER        304    42.404     49992.591     50034.995 
                MULT_LUT                       304    42.404     49992.591     50034.995 
                  mux_mt_8[76][i]_2340_2         8    36.959      3326.782      3363.740 
                  ctl_i_51_31                  296     5.445     46665.809     46671.255 
              GEN_EVEN_I..CE_ADDER_EVEN         64     6.260     85753.227     85759.487 
                g2                               8     0.783      7309.170      7309.953 
                g3                               8     0.783      9847.170      9847.952 
                g4                               8     0.783     10757.606     10758.388 
                g5                               8     0.783     11823.561     11824.344 
